변수명,변수설명,variable_description_en,보기설명,option_description_en,비고,note_en
TQQ3_4,문3.그 평일 오전 통행의 총 소요시간은 어느 정도입니까?-70분이상[단위:분],Q3. Total duration for that weekday morning trip - 70 minutes or more [unit: minutes],,,,
QQ4,문4.그 통행에서 본인이 직접 지불하는 편도 1회 비용은 어느 정도입니까?,Q4. How much do you personally pay for that one-way trip?,"(1)없음
(2)1천원 미만
(3)1천원~2천원 미만
(4)2천원~5천원 미만
(5)5천원 이상","(1)None
(2)Less than KRW 1,000
(3)KRW 1,000 to less than 2,000
(4)KRW 2,000 to less than 5,000
(5)KRW 5,000 or more",,
TQQ4_5,문4.그 통행에서 본인이 직접 지불하는 편도 1회 비용은 어느 정도입니까?-5천원 이상[단위:천원],"Q4. One-way out-of-pocket cost - KRW 5,000 or more [unit: thousand KRW]",,,,
QQ5,문5.그 통행에서 가장 자주 이용하는 교통수단은 무엇입니까?,Q5. Which mode do you use most often for that trip?,"(1)대중교통
(2)일반 자동차
(3)개인형 이동수단(PM)
(4)도보
(5)택시·호출차량
(6)기타","(1)Public transit
(2)General car
(3)Personal mobility (PM)
(4)Walking
(5)Taxi/ride-hailing
(6)Other",,
TQQ5_6,문5.그 통행에서 가장 자주 이용하는 교통수단은 무엇입니까?-기타내용,Q5. Other text for mode used most often for that trip,,,,
QQ6,문6.그 수단을 주로 이용하는 가장 큰 이유는 무엇입니까?,Q6. What is the main reason you usually use that mode?,"(1)시간
(2)비용
(3)편의성
(4)습관
(5)다른 대안이 마땅치 않아서
(6)기타","(1)Time
(2)Cost
(3)Convenience
(4)Habit
(5)No suitable alternative
(6)Other",,
TQQ6_6,문6.그 수단을 주로 이용하는 가장 큰 이유는 무엇입니까?-기타내용,Q6. Other text for main reason for using that mode,,,,
QQ7,"문7.그 통행은 보통 혼자 합니까, 아니면 누군가와 함께 합니까?",Q7. Do you usually make that trip alone or with someone else?,"(1)혼자
(2)가족과 함께
(3)동료·친구와 함께
(4)기타","(1)Alone
(2)With family
(3)With coworkers/friends
(4)Other",,
TQQ7_4,"문7.그 통행은 보통 혼자 합니까, 아니면 누군가와 함께 합니까?-기타내용",Q7. Other text for whether you usually travel alone or with someone else,,,,
Q1A,1.가까운 동네 이동(약 0.5-2km)-Q1.2026년 현재 시점(자율주행차 없음) 이용수단,Nearby neighborhood trip (approx. 0.5-2 km) - Q1. Mode used under the 2026 current condition (without driverless AV),"(1)대중교통
(2)일반자동차
(3)개인형 이동수단
(4)도보","(1)Public transit
(2)General car
(3)Personal mobility
(4)Walking",,
Q1B_1,1.가까운 동네 이동(약 0.5-2km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-1순위,"Nearby neighborhood trip (approx. 0.5-2 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 1","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
Q1B_2,1.가까운 동네 이동(약 0.5-2km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-2순위,"Nearby neighborhood trip (approx. 0.5-2 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 2","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
Q1B_3,1.가까운 동네 이동(약 0.5-2km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-3순위,"Nearby neighborhood trip (approx. 0.5-2 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 3","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
TQ1B_7,1.가까운 동네 이동(약 0.5-2km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-기타내용,Nearby neighborhood trip (approx. 0.5-2 km) - Q2. Other text for factors considered,,,,
Q1C,1.가까운 동네 이동(약 0.5-2km)-Q3.2030년 미래 시점(자율주행 호출 서비스 도입)이용수단,Nearby neighborhood trip (approx. 0.5-2 km) - Q3. Mode used under the 2030 future condition (with driverless AV ride-hailing),"(1)대중교통
(2)일반자동차
(3)개인형 이동수단
(4)도보
(5)자율주행차(호출형)","(1)Public transit
(2)General car
(3)Personal mobility
(4)Walking
(5)Driverless AV ride-hailing",,
Q1D_1,"1.가까운 동네 이동(약 0.5-2km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-1순위","Nearby neighborhood trip (approx. 0.5-2 km) - Q4. Factors considered when choosing driverless AV under the 2030 condition, up to three factors - rank 1","(1)시간
(2)비용
(3)운전·주차 부담
(4)이동 중 휴식·업무
(5)안정성
(6)새 서비스 호기심
(7)기타","(1)Time
(2)Cost
(3)Driving/parking burden
(4)Rest/work during the trip
(5)Service stability
(6)Curiosity about a new service
(7)Other",,
Q1D_2,"1.가까운 동네 이동(약 0.5-2km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-2순위","Nearby neighborhood trip (approx. 0.5-2 km) - Q4. Factors considered when choosing driverless AV under the 2030 condition, up to three factors - rank 2","(1)시간
(2)비용
(3)운전·주차 부담
(4)이동 중 휴식·업무
(5)안정성
(6)새 서비스 호기심
(7)기타","(1)Time
(2)Cost
(3)Driving/parking burden
(4)Rest/work during the trip
(5)Service stability
(6)Curiosity about a new service
(7)Other",,
Q1D_3,"1.가까운 동네 이동(약 0.5-2km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-3순위","Nearby neighborhood trip (approx. 0.5-2 km) - Q4. Factors considered when choosing driverless AV under the 2030 condition, up to three factors - rank 3","(1)시간
(2)비용
(3)운전·주차 부담
(4)이동 중 휴식·업무
(5)안정성
(6)새 서비스 호기심
(7)기타","(1)Time
(2)Cost
(3)Driving/parking burden
(4)Rest/work during the trip
(5)Service stability
(6)Curiosity about a new service
(7)Other",,
TQ1D_7,"1.가까운 동네 이동(약 0.5-2km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-기타내용",Nearby neighborhood trip (approx. 0.5-2 km) - Q4. Other text for factors considered when choosing driverless AV,,,,
Q1E,"1.가까운 동네 이동(약 0.5-2km)-Q5.[이용일수]자율주행차를 선택한 경우, 비슷한 평일 통행 5일 중 며칠 이용할 것 같습니까?","Nearby neighborhood trip (approx. 0.5-2 km) - Q5. If choosing driverless AV, expected number of weekdays used out of five similar weekday trips","(1)1일
(2)2일
(3)3일
(4)4일
(5)5일","(1)1 day(s)
(2)2 day(s)
(3)3 day(s)
(4)4 day(s)
(5)5 day(s)",,
Q2A,2.가까운 생활권 이동(약 2-4km)-Q1.2026년 현재 시점(자율주행차 없음) 이용수단,Nearby activity-area trip (approx. 2-4 km) - Q1. Mode used under the 2026 current condition (without driverless AV),"(1)대중교통
(2)일반자동차
(3)개인형 이동수단
(4)도보","(1)Public transit
(2)General car
(3)Personal mobility
(4)Walking",,
Q2B_1,2.가까운 생활권 이동(약 2-4km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-1순위,"Nearby activity-area trip (approx. 2-4 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 1","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
Q2B_2,2.가까운 생활권 이동(약 2-4km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-2순위,"Nearby activity-area trip (approx. 2-4 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 2","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
Q2B_3,2.가까운 생활권 이동(약 2-4km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-3순위,"Nearby activity-area trip (approx. 2-4 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 3","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
TQ2B_7,2.가까운 생활권 이동(약 2-4km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-기타내용,Nearby activity-area trip (approx. 2-4 km) - Q2. Other text for factors considered,,,,
Q2C,2.가까운 생활권 이동(약 2-4km)-Q3.2030년 미래 시점(자율주행 호출 서비스 도입)이용수단,Nearby activity-area trip (approx. 2-4 km) - Q3. Mode used under the 2030 future condition (with driverless AV ride-hailing),"(1)대중교통
(2)일반자동차
(3)개인형 이동수단
(4)도보
(5)자율주행차(호출형)","(1)Public transit
(2)General car
(3)Personal mobility
(4)Walking
(5)Driverless AV ride-hailing",,
Q2D_1,"2.가까운 생활권 이동(약 2-4km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-1순위","Nearby activity-area trip (approx. 2-4 km) - Q4. Factors considered when choosing driverless AV under the 2030 condition, up to three factors - rank 1","(1)시간
(2)비용
(3)운전·주차 부담
(4)이동 중 휴식·업무
(5)안정성
(6)새 서비스 호기심
(7)기타","(1)Time
(2)Cost
(3)Driving/parking burden
(4)Rest/work during the trip
(5)Service stability
(6)Curiosity about a new service
(7)Other",,
Q2D_2,"2.가까운 생활권 이동(약 2-4km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-2순위","Nearby activity-area trip (approx. 2-4 km) - Q4. Factors considered when choosing driverless AV under the 2030 condition, up to three factors - rank 2","(1)시간
(2)비용
(3)운전·주차 부담
(4)이동 중 휴식·업무
(5)안정성
(6)새 서비스 호기심
(7)기타","(1)Time
(2)Cost
(3)Driving/parking burden
(4)Rest/work during the trip
(5)Service stability
(6)Curiosity about a new service
(7)Other",,
Q2D_3,"2.가까운 생활권 이동(약 2-4km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-3순위","Nearby activity-area trip (approx. 2-4 km) - Q4. Factors considered when choosing driverless AV under the 2030 condition, up to three factors - rank 3","(1)시간
(2)비용
(3)운전·주차 부담
(4)이동 중 휴식·업무
(5)안정성
(6)새 서비스 호기심
(7)기타","(1)Time
(2)Cost
(3)Driving/parking burden
(4)Rest/work during the trip
(5)Service stability
(6)Curiosity about a new service
(7)Other",,
TQ2D_7,"2.가까운 생활권 이동(약 2-4km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-기타내용",Nearby activity-area trip (approx. 2-4 km) - Q4. Other text for factors considered when choosing driverless AV,,,,
Q2E,"2.가까운 생활권 이동(약 2-4km)-Q5.[이용일수]자율주행차를 선택한 경우, 비슷한 평일 통행 5일 중 며칠 이용할 것 같습니까?","Nearby activity-area trip (approx. 2-4 km) - Q5. If choosing driverless AV, expected number of weekdays used out of five similar weekday trips","(1)1일
(2)2일
(3)3일
(4)4일
(5)5일","(1)1 day(s)
(2)2 day(s)
(3)3 day(s)
(4)4 day(s)
(5)5 day(s)",,
Q3A,3.인접 생활권 이동(약 4-7km)-Q1.2026년 현재 시점(자율주행차 없음) 이용수단,Adjacent activity-area trip (approx. 4-7 km) - Q1. Mode used under the 2026 current condition (without driverless AV),"(1)대중교통
(2)일반자동차
(3)개인형 이동수단
(4)도보","(1)Public transit
(2)General car
(3)Personal mobility
(4)Walking",,
Q3B_1,3.인접 생활권 이동(약 4-7km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-1순위,"Adjacent activity-area trip (approx. 4-7 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 1","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
Q3B_2,3.인접 생활권 이동(약 4-7km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-2순위,"Adjacent activity-area trip (approx. 4-7 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 2","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
Q3B_3,3.인접 생활권 이동(약 4-7km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-3순위,"Adjacent activity-area trip (approx. 4-7 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 3","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
TQ3B_7,3.인접 생활권 이동(약 4-7km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-기타내용,Adjacent activity-area trip (approx. 4-7 km) - Q2. Other text for factors considered,,,,
Q3C,3.인접 생활권 이동(약 4-7km)-Q3.2030년 미래 시점(자율주행 호출 서비스 도입)이용수단,Adjacent activity-area trip (approx. 4-7 km) - Q3. Mode used under the 2030 future condition (with driverless AV ride-hailing),"(1)대중교통
(2)일반자동차
(3)개인형 이동수단
(4)도보
(5)자율주행차(호출형)","(1)Public transit
(2)General car
(3)Personal mobility
(4)Walking
(5)Driverless AV ride-hailing",,
Q3D_1,"3.인접 생활권 이동(약 4-7km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-1순위","Adjacent activity-area trip (approx. 4-7 km) - Q4. Factors considered when choosing driverless AV under the 2030 condition, up to three factors - rank 1","(1)시간
(2)비용
(3)운전·주차 부담
(4)이동 중 휴식·업무
(5)안정성
(6)새 서비스 호기심
(7)기타","(1)Time
(2)Cost
(3)Driving/parking burden
(4)Rest/work during the trip
(5)Service stability
(6)Curiosity about a new service
(7)Other",,
Q3D_2,"3.인접 생활권 이동(약 4-7km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-2순위","Adjacent activity-area trip (approx. 4-7 km) - Q4. Factors considered when choosing driverless AV under the 2030 condition, up to three factors - rank 2","(1)시간
(2)비용
(3)운전·주차 부담
(4)이동 중 휴식·업무
(5)안정성
(6)새 서비스 호기심
(7)기타","(1)Time
(2)Cost
(3)Driving/parking burden
(4)Rest/work during the trip
(5)Service stability
(6)Curiosity about a new service
(7)Other",,
Q3D_3,"3.인접 생활권 이동(약 4-7km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-3순위","Adjacent activity-area trip (approx. 4-7 km) - Q4. Factors considered when choosing driverless AV under the 2030 condition, up to three factors - rank 3","(1)시간
(2)비용
(3)운전·주차 부담
(4)이동 중 휴식·업무
(5)안정성
(6)새 서비스 호기심
(7)기타","(1)Time
(2)Cost
(3)Driving/parking burden
(4)Rest/work during the trip
(5)Service stability
(6)Curiosity about a new service
(7)Other",,
TQ3D_7,"3.인접 생활권 이동(약 4-7km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-기타내용",Adjacent activity-area trip (approx. 4-7 km) - Q4. Other text for factors considered when choosing driverless AV,,,,
Q3E,"3.인접 생활권 이동(약 4-7km)-Q5.[이용일수]자율주행차를 선택한 경우, 비슷한 평일 통행 5일 중 며칠 이용할 것 같습니까?","Adjacent activity-area trip (approx. 4-7 km) - Q5. If choosing driverless AV, expected number of weekdays used out of five similar weekday trips","(1)1일
(2)2일
(3)3일
(4)4일
(5)5일","(1)1 day(s)
(2)2 day(s)
(3)3 day(s)
(4)4 day(s)
(5)5 day(s)",,
Q4A,4.서울 시내 중거리 이동(약 7-13km)-Q1.2026년 현재 시점(자율주행차 없음) 이용수단,Medium-distance trip within Seoul (approx. 7-13 km) - Q1. Mode used under the 2026 current condition (without driverless AV),"(1)대중교통
(2)일반자동차
(3)개인형 이동수단","(1)Public transit
(2)General car
(3)Personal mobility",,
Q4B_1,4.서울 시내 중거리 이동(약 7-13km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-1순위,"Medium-distance trip within Seoul (approx. 7-13 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 1","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
Q4B_2,4.서울 시내 중거리 이동(약 7-13km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-2순위,"Medium-distance trip within Seoul (approx. 7-13 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 2","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
Q4B_3,4.서울 시내 중거리 이동(약 7-13km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-3순위,"Medium-distance trip within Seoul (approx. 7-13 km) - Q2. Factors considered when choosing the selected mode, up to three factors - rank 3","(1)시간
(2)비용
(3)대기·접근·환승
(4)혼잡·쾌적성
(5)운전·주차·피로 부담
(6)익숙한 수단
(7)기타","(1)Time
(2)Cost
(3)Waiting/access/transfers
(4)Crowding/comfort
(5)Driving/parking/fatigue burden
(6)Familiar mode
(7)Other",,
TQ4B_7,4.서울 시내 중거리 이동(약 7-13km)-Q2.[고려요인]위 표에서 선택한 수단을 고를 때 고려한 요인을 최대 3개까지 선택해 주세요.-기타내용,Medium-distance trip within Seoul (approx. 7-13 km) - Q2. Other text for factors considered,,,,
Q4C,4.서울 시내 중거리 이동(약 7-13km)-Q3.2030년 미래 시점(자율주행 호출 서비스 도입)이용수단,Medium-distance trip within Seoul (approx. 7-13 km) - Q3. Mode used under the 2030 future condition (with driverless AV ride-hailing),"(1)대중교통
(2)일반자동차
(3)개인형 이동수단
(5)자율주행차(호출형)","(1)Public transit
(2)General car
(3)Personal mobility
(5)Driverless AV ride-hailing",,
Q4D_1,"4.서울 시내 중거리 이동(약 7-13km)-Q4.[AV 선택 이유]2030년 조건에서 자율주행차를 선택한 경우, 선택할 때 고려한 요인을 최대 3개까지 선택해 주세요.-1순위","Medium-distance trip within Seoul (approx. 7-13 km) - Q4. Factors considered when choosing driverless AV under the 2030 condition, up to three factors - rank 1","(1)시간
(2)비용
(3)운전·주차 부담
(4)이동 중 휴식·업무
(5)안정성
(6)새 서비스 호기심
(7)기타","(1)Time
(2)Cost
(3)Driving/parking burden
(4)Rest/work during the trip
(5)Service stability
(6)Curiosity about a new service
(7)Other",,
